epochs,loss,val_loss,rmse,val_rmse
0,0.3984009325504303,0.32720160484313965,0.6311901211738586,0.5720154047012329
1,0.3422752618789673,0.3083174526691437,0.5850429534912109,0.5552634000778198
2,0.3268470764160156,0.30196982622146606,0.5717054009437561,0.549517810344696
3,0.3190663456916809,0.2953304946422577,0.5648595690727234,0.5434432029724121
4,0.31313037872314453,0.29184770584106445,0.5595805644989014,0.540229320526123
5,0.3089425563812256,0.29050448536872864,0.5558260083198547,0.5389846563339233
6,0.305055171251297,0.28823089599609375,0.5523179769515991,0.5368713736534119
7,0.30268236994743347,0.2864963710308075,0.5501657724380493,0.5352535843849182
8,0.30025115609169006,0.28288930654525757,0.5479517579078674,0.5318734049797058
9,0.2980859875679016,0.2857745289802551,0.5459725260734558,0.5345788598060608
10,0.29618218541145325,0.28249603509902954,0.5442262291908264,0.5315035581588745
11,0.2943968176841736,0.27906036376953125,0.5425834655761719,0.528261661529541
12,0.2934466600418091,0.2782363295555115,0.5417071580886841,0.5274811387062073
13,0.29220277070999146,0.27893614768981934,0.540557861328125,0.5281440615653992
14,0.2905314564704895,0.27554067969322205,0.539009690284729,0.5249196887016296
15,0.28935515880584717,0.2748776376247406,0.53791743516922,0.524287760257721
16,0.2886771559715271,0.2752783000469208,0.5372868180274963,0.5246697068214417
17,0.2869471609592438,0.27331721782684326,0.535674512386322,0.5227974653244019
18,0.2864150106906891,0.27417072653770447,0.5351775288581848,0.5236131548881531
19,0.2852976620197296,0.2733020782470703,0.5341325998306274,0.5227830410003662
20,0.2846246659755707,0.2716081440448761,0.5335022807121277,0.521160364151001
21,0.2838127315044403,0.2707756459712982,0.5327407717704773,0.520361065864563
22,0.2826719880104065,0.26930180191993713,0.5316690802574158,0.5189429521560669
23,0.28186795115470886,0.2697429955005646,0.5309123992919922,0.5193678736686707
24,0.28132277727127075,0.27046263217926025,0.5303986668586731,0.5200602412223816
25,0.28027498722076416,0.27009305357933044,0.5294100642204285,0.5197047591209412
26,0.27954915165901184,0.2718111574649811,0.5287240743637085,0.5213550925254822
